State,zipcode,Mean Income,Estimated Investments,Home_Value
AL,36117,"86,706.50","75,555","244,725"
AL,36201,"36,820.66",2790,"53,405"
AL,36203,"64,519.24","22,189","187,812"
AL,36205,"59,241.18",37353,"268,738"
AL,36206,"44,974.68","10,133","140,024"
AL,36207,"75,525.47","57,040","183,918"
AL,36250,"60,548.71","13,871","201,647"
AL,36251,"56,845.54","12,931","157,511"
AL,36255,"117,063.89",12056,"161,190"
AL,36256,"56,273.77",3770,"160,018"
AL,36258,"56,997.22",8250,"217,174"
AL,36260,"49,634.91",5148,"168,244"
AL,36262,"54,818.18",1455,"207,306"
AL,36263,"70,421.05",1053,
AL,36264,"64,120.11","14,375","220,044"
AL,36265,"59,383.64","25,164","196,240"
AL,36266,"57,885.78","20,516","170,900"
AL,36268,"55,418.47","10,554","183,830"
AL,36269,"61,904.00",5160,"220,367"
AL,36271,"60,302.31","18,623","192,315"
AL,36272,"55,015.07","14,701","137,664"
AL,36273,"70,225.23",8324,"238,536"
AL,36274,"48,936.05","15,702","134,404"
AL,36276,"52,585.06",9057,"151,160"
AL,36277,"52,803.66","13,756","162,642"
AL,36278,"77,601.91","58,574","319,228"
AL,36279,"55,970.54",7625,"192,065"
AL,36280,"58,644.44",8771,"198,992"
AL,36301,"58,625.11","27,546","168,462"
AL,36303,"73,506.98","70,318","172,825"
AL,36305,"103,924.59","92,672","254,736"
AL,36310,"59,607.38","33,131","140,993"
AL,36311,"56,958.88",6860,"159,021"
AL,36312,"60,680.69","15,444","180,006"
AL,36314,"55,545.84",2167,"164,576"
AL,36316,"66,842.68",12902,"193,587"
AL,36317,"56,400.00",800,"133,340"
AL,36318,"64,995.92",9755,"175,099"
AL,36319,"63,261.70",14553,"154,067"
AL,36320,"51,151.72",7628,"154,841"
AL,36321,"53,341.18",4518,"177,809"
AL,36322,"50,354.12","9,376","144,254"
AL,36323,"55,048.81","20,766","134,744"
AL,36330,"72,686.32","47,038","210,669"
AL,36340,"51,533.17","21,829","124,832"
AL,36343,"49,581.82",5164,"145,821"
AL,36344,"55,326.87","13,507","156,341"
AL,36345,"73,045.92","29,173","209,626"
AL,36346,"58,501.59",5841,"180,502"
AL,36350,"70,640.91","23,261","186,294"
AL,36351,"68,761.96","16,258","183,635"
AL,36352,"72,902.54","21,356","236,775"
AL,36353,"61,146.43",12310,"140,497"
AL,36360,"55,112.93","20,803","137,220"
AL,36362,"63,206.06",7576,
AL,36370,"55,071.05",3105,"160,381"
AL,36373,"50,345.00",2700,"128,382"
AL,36374,"68,393.48",6000,"173,026"
AL,36375,"54,499.03","12,304","158,872"
AL,36376,"51,071.26",8184,"159,865"
AL,36401,"50,053.45","22,953","111,886"
AL,36420,"66,298.15","31,469","135,531"
AL,36421,"73,048.05","24,945","205,373"
AL,36425,"36,783.87",1935,
AL,36426,"56,148.16","32,581","132,733"
AL,36432,"47,377.42",3118,"132,078"
AL,36435,"36,258.82", -   ,
AL,36436,"53,126.32",842,"118,018"
AL,36441,"55,645.03",6358,"129,845"
AL,36442,"47,593.10",5379,"132,051"
AL,36444,"49,265.00",1100,
AL,36445,"50,361.39",9000,
AL,36451,"64,160.11","28,862","135,654"
AL,36453,"59,400.00",9591,"147,692"
AL,36456,"49,327.14",3486,"112,337"
AL,36460,"56,997.11","43,636","139,354"
AL,36467,"56,830.91","20,129","118,052"
AL,36471,"45,181.08",757,
AL,36474,"53,247.71",6752,"152,307"
AL,36475,"50,558.57",5971,"150,518"
AL,36477,"56,538.42","14,203","131,115"
AL,36480,"59,006.06",9152,
AL,36482,"42,819.45",611,"105,293"
AL,36483,"44,970.59",1647,"145,690"
AL,36502,"52,250.55","10,526","145,267"
AL,36505,"63,356.25",4031,"199,232"
AL,36507,"62,239.38","21,273","221,036"
AL,36509,"41,817.95",3026,"77,001"
AL,36511,"52,897.06",9706,"262,491"
AL,36518,"75,752.94","22,804",
AL,36521,"61,418.10",8876,"215,283"
AL,36522,"54,537.72","9,125","163,933"
AL,36523,"61,188.24",15000,"155,438"
AL,36524,"52,021.95",2976,"114,187"
AL,36525,"67,258.75",3175,"205,678"
AL,36526,"92,534.41","53,569","321,556"
AL,36527,"120,225.39","66,216","386,384"
AL,36528,"94,946.07","82,427","462,090"
AL,36529,"62,177.78",556,
AL,36530,"76,678.26","54,832","379,472"
AL,36532,"126,348.62","164,309","467,501"
AL,36535,"58,427.25","33,620","305,924"
AL,36538,"44,284.62", -   ,
AL,36539,"60,444.83",621,
AL,36540,"39,105.13",256,"151,807"
AL,36541,"60,053.04","13,337","210,578"
AL,36542,"89,923.18","91,785","455,365"
AL,36544,"51,189.85","4,753","181,569"
AL,36545,"57,556.25","23,966","128,793"
AL,36548,"69,179.55",6409,
AL,36549,"75,729.82","56,007","314,701"
AL,36551,"68,115.12","23,512","286,073"
AL,36553,"50,284.30",1339,
AL,36555,"128,976.19","127,333","412,126"
AL,36558,"60,921.37",6214,"158,855"
AL,36560,"42,167.72",898,"94,448"
AL,36561,"157,034.44","230,530","684,820"
AL,36562,"54,902.67",1120,"197,576"
AL,36567,"58,192.12","14,942","268,860"
AL,36569,"70,412.90",2194,
AL,36571,"73,088.65","17,830","226,627"
AL,36572,"80,169.21","14,258","234,103"
AL,36574,"66,076.56",8156,"324,955"
AL,36575,"64,083.86","11,692","233,387"
AL,36576,"63,982.88","29,307","299,450"
AL,36578,"71,721.98",14857,"316,421"
AL,36579,"62,824.29",13286,"243,966"
AL,36580,"59,554.52","23,148","288,651"
AL,36582,"67,497.67","28,105","195,723"
AL,36583,"58,275.00",1071,
AL,36584,"56,436.67",933,
AL,36585,"62,855.00",2050,
AL,36587,"57,942.99","11,948","202,867"
AL,36602,"89,738.81","31,045","303,202"
AL,36603,"32,555.56",2921,"46,721"
AL,36604,"77,467.21","46,158","196,614"
AL,36605,"42,548.36","21,616","83,666"
AL,36606,"52,591.13","22,490","132,268"
AL,36607,"78,759.92","119,238","102,762"
AL,36608,"100,381.11","117,493","226,962"
AL,36609,"58,203.13","31,685","197,662"
AL,36610,"27,340.37",246,"32,836"
AL,36611,"37,445.68",2840,"102,145"
AL,36612,"28,532.89",171,"54,839"
AL,36613,"43,969.00","13,902","141,018"
AL,36617,"40,863.90","4,473","53,119"
AL,36618,"46,537.36","8,375","169,662"
AL,36619,"70,144.70","31,268","203,101"
AL,36693,"110,573.71","75,981","220,598"
AL,36695,"77,430.31","39,692","268,430"
AL,36701,"49,638.96","28,040","84,687"
AL,36703,"37,389.69","9,572","44,759"
AL,36720,"30,630.00", -   ,
AL,36722,"38,107.14", -   ,
AL,36726,"51,044.25","49,655","134,658"
AL,36728,"38,313.04",609,
AL,36732,"65,594.03","38,358","147,654"
AL,36736,"46,383.02",604,
AL,36738,"47,770.27",270,
AL,36740,"41,027.91",1116,"115,211"
AL,36742,"68,366.29",19191,"199,219"
AL,36744,"45,925.91","21,927","122,592"
AL,36748,"58,432.79","21,656","104,064"
AL,36749,"48,205.26",789,"142,573"
AL,36750,"60,297.56",4992,"176,949"
AL,36751,"32,019.36", -   ,"97,169"
AL,36752,"77,597.14",25657,"184,874"
AL,36756,"43,896.22",9405,"133,801"
AL,36758,"57,337.26",9255,"140,038"
AL,36759,"42,058.93",7893,"122,100"
AL,36761,"47,970.59",27412,"148,702"
AL,36765,"37,408.70",783,"130,638"
AL,36767,"38,145.45",3182,"74,170"
AL,36768,"49,604.00",5760,
AL,36769,"42,053.47",3366,
AL,36773,"37,628.57",143,"130,505"
AL,36775,"55,625.93",30963,"87,885"
AL,36776,"35,459.68",710,
AL,36782,"50,033.70",5370,
AL,36783,"58,326.67",9400,
